"geoid","geoid2","name","D001","D002","D003","D004","D005","D006","D007","D008","D009","D010","D011","D012","D013","D014","D015","D016","D017"
"484230001002010","1000000US484230001002010","Block 2010, Block Group 2, Census Tract 1, Smith County, Texas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"484230001002011","1000000US484230001002011","Block 2011, Block Group 2, Census Tract 1, Smith County, Texas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"484230001002012","1000000US484230001002012","Block 2012, Block Group 2, Census Tract 1, Smith County, Texas",84,19,7,12,0,0,0,0,0,65,20,0,0,4,0,39,2
"484230001002013","1000000US484230001002013","Block 2013, Block Group 2, Census Tract 1, Smith County, Texas",79,48,9,39,0,0,0,0,0,31,23,1,0,0,0,7,0
"484230001002014","1000000US484230001002014","Block 2014, Block Group 2, Census Tract 1, Smith County, Texas",18,18,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0
"484230001002015","1000000US484230001002015","Block 2015, Block Group 2, Census Tract 1, Smith County, Texas",10,8,0,8,0,0,0,0,0,2,0,0,0,0,0,2,0
"484230001002016","1000000US484230001002016","Block 2016, Block Group 2, Census Tract 1, Smith County, Texas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"484230001002017","1000000US484230001002017","Block 2017, Block Group 2, Census Tract 1, Smith County, Texas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"484230001002018","1000000US484230001002018","Block 2018, Block Group 2, Census Tract 1, Smith County, Texas",17,0,0,0,0,0,0,0,0,17,7,0,0,0,0,10,0
"484230001002019","1000000US484230001002019","Block 2019, Block Group 2, Census Tract 1, Smith County, Texas",39,10,9,1,0,0,0,0,0,29,29,0,0,0,0,0,0
"484230001002020","1000000US484230001002020","Block 2020, Block Group 2, Census Tract 1, Smith County, Texas",53,2,2,0,0,0,0,0,0,51,30,0,0,0,0,21,0
"484230001002021","1000000US484230001002021","Block 2021, Block Group 2, Census Tract 1, Smith County, Texas",91,32,5,26,1,0,0,0,0,59,24,0,0,0,0,35,0
"484230001002022","1000000US484230001002022","Block 2022, Block Group 2, Census Tract 1, Smith County, Texas",62,34,9,25,0,0,0,0,0,28,8,0,4,0,0,15,1
"484230001002023","1000000US484230001002023","Block 2023, Block Group 2, Census Tract 1, Smith County, Texas",39,16,4,12,0,0,0,0,0,23,8,0,0,0,0,15,0
"484230001002024","1000000US484230001002024","Block 2024, Block Group 2, Census Tract 1, Smith County, Texas",58,39,3,36,0,0,0,0,0,19,7,0,4,0,0,8,0
"484230001002025","1000000US484230001002025","Block 2025, Block Group 2, Census Tract 1, Smith County, Texas",9,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
"484230001002026","1000000US484230001002026","Block 2026, Block Group 2, Census Tract 1, Smith County, Texas",3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"484230001002027","1000000US484230001002027","Block 2027, Block Group 2, Census Tract 1, Smith County, Texas",36,19,1,18,0,0,0,0,0,17,17,0,0,0,0,0,0
"484230001002028","1000000US484230001002028","Block 2028, Block Group 2, Census Tract 1, Smith County, Texas",23,4,1,3,0,0,0,0,0,19,14,0,0,0,0,5,0
"484230001002029","1000000US484230001002029","Block 2029, Block Group 2, Census Tract 1, Smith County, Texas",30,25,1,24,0,0,0,0,0,5,5,0,0,0,0,0,0
"484230001002030","1000000US484230001002030","Block 2030, Block Group 2, Census Tract 1, Smith County, Texas",31,16,3,13,0,0,0,0,0,15,15,0,0,0,0,0,0
"484230001002031","1000000US484230001002031","Block 2031, Block Group 2, Census Tract 1, Smith County, Texas",17,6,1,5,0,0,0,0,0,11,0,0,4,0,0,7,0
"484230001003000","1000000US484230001003000","Block 3000, Block Group 3, Census Tract 1, Smith County, Texas",63,63,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0
"484230001003001","1000000US484230001003001","Block 3001, Block Group 3, Census Tract 1, Smith County, Texas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"484230001003002","1000000US484230001003002","Block 3002, Block Group 3, Census Tract 1, Smith County, Texas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"484230001003003","1000000US484230001003003","Block 3003, Block Group 3, Census Tract 1, Smith County, Texas",28,28,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0
"484230001003004","1000000US484230001003004","Block 3004, Block Group 3, Census Tract 1, Smith County, Texas",24,20,0,20,0,0,0,0,0,4,4,0,0,0,0,0,0
"484230001003005","1000000US484230001003005","Block 3005, Block Group 3, Census Tract 1, Smith County, Texas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"484230001003006","1000000US484230001003006","Block 3006, Block Group 3, Census Tract 1, Smith County, Texas",80,50,0,48,0,0,0,0,2,30,23,5,0,0,0,0,2
"484230001003007","1000000US484230001003007","Block 3007, Block Group 3, Census Tract 1, Smith County, Texas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"484230001003008","1000000US484230001003008","Block 3008, Block Group 3, Census Tract 1, Smith County, Texas",40,25,0,25,0,0,0,0,0,15,11,0,0,0,0,4,0
"484230001003009","1000000US484230001003009","Block 3009, Block Group 3, Census Tract 1, Smith County, Texas",32,28,0,28,0,0,0,0,0,4,0,0,0,0,0,4,0
"484230001003010","1000000US484230001003010","Block 3010, Block Group 3, Census Tract 1, Smith County, Texas",22,17,1,15,0,0,0,0,1,5,3,2,0,0,0,0,0
"484230001003011","1000000US484230001003011","Block 3011, Block Group 3, Census Tract 1, Smith County, Texas",26,18,0,18,0,0,0,0,0,8,0,0,0,0,0,8,0
"484230001003012","1000000US484230001003012","Block 3012, Block Group 3, Census Tract 1, Smith County, Texas",28,26,0,26,0,0,0,0,0,2,2,0,0,0,0,0,0
"484230001003013","1000000US484230001003013","Block 3013, Block Group 3, Census Tract 1, Smith County, Texas",30,14,3,11,0,0,0,0,0,16,8,0,0,0,0,8,0
"484230001003014","1000000US484230001003014","Block 3014, Block Group 3, Census Tract 1, Smith County, Texas",38,35,0,34,0,0,0,0,1,3,0,0,0,0,0,3,0
"484230001003015","1000000US484230001003015","Block 3015, Block Group 3, Census Tract 1, Smith County, Texas",48,19,5,14,0,0,0,0,0,29,10,0,0,0,0,19,0
"484230001003016","1000000US484230001003016","Block 3016, Block Group 3, Census Tract 1, Smith County, Texas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"484230001003017","1000000US484230001003017","Block 3017, Block Group 3, Census Tract 1, Smith County, Texas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"484230001003018","1000000US484230001003018","Block 3018, Block Group 3, Census Tract 1, Smith County, Texas",47,17,4,13,0,0,0,0,0,30,20,0,0,0,0,9,1
"484230001003019","1000000US484230001003019","Block 3019, Block Group 3, Census Tract 1, Smith County, Texas",13,8,6,2,0,0,0,0,0,5,2,2,0,0,0,0,1
"484230001003020","1000000US484230001003020","Block 3020, Block Group 3, Census Tract 1, Smith County, Texas",17,7,0,7,0,0,0,0,0,10,3,0,2,0,0,1,4
"484230001003021","1000000US484230001003021","Block 3021, Block Group 3, Census Tract 1, Smith County, Texas",19,10,0,10,0,0,0,0,0,9,0,0,0,0,0,9,0
"484230001003022","1000000US484230001003022","Block 3022, Block Group 3, Census Tract 1, Smith County, Texas",40,27,11,16,0,0,0,0,0,13,8,0,0,0,0,0,5
"484230001003023","1000000US484230001003023","Block 3023, Block Group 3, Census Tract 1, Smith County, Texas",41,33,13,19,0,0,0,0,1,8,7,1,0,0,0,0,0
"484230001003024","1000000US484230001003024","Block 3024, Block Group 3, Census Tract 1, Smith County, Texas",35,14,3,11,0,0,0,0,0,21,10,0,0,0,0,11,0
"484230001003025","1000000US484230001003025","Block 3025, Block Group 3, Census Tract 1, Smith County, Texas",64,49,8,40,0,0,0,0,1,15,9,0,1,0,0,5,0
"484230001003026","1000000US484230001003026","Block 3026, Block Group 3, Census Tract 1, Smith County, Texas",11,0,0,0,0,0,0,0,0,11,3,0,0,0,0,8,0
"484230001003027","1000000US484230001003027","Block 3027, Block Group 3, Census Tract 1, Smith County, Texas",7,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
"484230001003028","1000000US484230001003028","Block 3028, Block Group 3, Census Tract 1, Smith County, Texas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"484230001003029","1000000US484230001003029","Block 3029, Block Group 3, Census Tract 1, Smith County, Texas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"484230001003030","1000000US484230001003030","Block 3030, Block Group 3, Census Tract 1, Smith County, Texas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"484230001004000","1000000US484230001004000","Block 4000, Block Group 4, Census Tract 1, Smith County, Texas",55,40,2,34,0,0,0,0,4,15,8,0,0,0,0,7,0
"484230001004001","1000000US484230001004001","Block 4001, Block Group 4, Census Tract 1, Smith County, Texas",84,25,2,22,0,0,0,0,1,59,18,0,0,0,0,31,10
"484230001004002","1000000US484230001004002","Block 4002, Block Group 4, Census Tract 1, Smith County, Texas",39,26,1,25,0,0,0,0,0,13,5,0,0,0,0,8,0
"484230001004003","1000000US484230001004003","Block 4003, Block Group 4, Census Tract 1, Smith County, Texas",118,69,7,62,0,0,0,0,0,49,7,0,5,0,0,37,0
"484230001004004","1000000US484230001004004","Block 4004, Block Group 4, Census Tract 1, Smith County, Texas",56,32,1,29,0,1,0,0,1,24,8,0,0,0,0,16,0
"484230001004005","1000000US484230001004005","Block 4005, Block Group 4, Census Tract 1, Smith County, Texas",53,38,4,34,0,0,0,0,0,15,15,0,0,0,0,0,0
"484230001004006","1000000US484230001004006","Block 4006, Block Group 4, Census Tract 1, Smith County, Texas",50,28,3,23,0,0,0,0,2,22,7,0,0,0,0,15,0
"484230001004007","1000000US484230001004007","Block 4007, Block Group 4, Census Tract 1, Smith County, Texas",69,46,5,41,0,0,0,0,0,23,12,0,0,0,0,11,0
"484230001004008","1000000US484230001004008","Block 4008, Block Group 4, Census Tract 1, Smith County, Texas",63,52,4,48,0,0,0,0,0,11,10,0,0,0,0,1,0
"484230001004009","1000000US484230001004009","Block 4009, Block Group 4, Census Tract 1, Smith County, Texas",27,11,0,11,0,0,0,0,0,16,4,1,0,0,0,11,0
"484230001004010","1000000US484230001004010","Block 4010, Block Group 4, Census Tract 1, Smith County, Texas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"484230001004011","1000000US484230001004011","Block 4011, Block Group 4, Census Tract 1, Smith County, Texas",31,27,12,15,0,0,0,0,0,4,2,0,0,0,0,2,0
"484230001004012","1000000US484230001004012","Block 4012, Block Group 4, Census Tract 1, Smith County, Texas",86,57,35,22,0,0,0,0,0,29,3,2,0,0,0,22,2
"484230001004013","1000000US484230001004013","Block 4013, Block Group 4, Census Tract 1, Smith County, Texas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"484230001004014","1000000US484230001004014","Block 4014, Block Group 4, Census Tract 1, Smith County, Texas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"484230001004015","1000000US484230001004015","Block 4015, Block Group 4, Census Tract 1, Smith County, Texas",3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
"484230001004016","1000000US484230001004016","Block 4016, Block Group 4, Census Tract 1, Smith County, Texas",6,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"484230001004017","1000000US484230001004017","Block 4017, Block Group 4, Census Tract 1, Smith County, Texas",26,14,9,5,0,0,0,0,0,12,11,0,0,0,0,1,0
"484230001004018","1000000US484230001004018","Block 4018, Block Group 4, Census Tract 1, Smith County, Texas",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"484230001004019","1000000US484230001004019","Block 4019, Block Group 4, Census Tract 1, Smith County, Texas",87,43,11,32,0,0,0,0,0,44,18,0,0,0,0,26,0
"484230001004020","1000000US484230001004020","Block 4020, Block Group 4, Census Tract 1, Smith County, Texas",31,9,9,0,0,0,0,0,0,22,9,0,0,0,0,13,0
"484230001004021","1000000US484230001004021","Block 4021, Block Group 4, Census Tract 1, Smith County, Texas",33,2,1,1,0,0,0,0,0,31,4,0,0,0,0,26,1
"484230001004022","1000000US484230001004022","Block 4022, Block Group 4, Census Tract 1, Smith County, Texas",85,63,8,55,0,0,0,0,0,22,8,0,0,0,0,14,0
"484230001004023","1000000US484230001004023","Block 4023, Block Group 4, Census Tract 1, Smith County, Texas",63,39,4,35,0,0,0,0,0,24,9,0,0,0,0,15,0
"484230001004024","1000000US484230001004024","Block 4024, Block Group 4, Census Tract 1, Smith County, Texas",37,12,7,5,0,0,0,0,0,25,18,0,0,0,0,6,1
"484230001004025","1000000US484230001004025","Block 4025, Block Group 4, Census Tract 1, Smith County, Texas",38,16,3,13,0,0,0,0,0,22,1,0,0,0,0,21,0
"484230001005000","1000000US484230001005000","Block 5000, Block Group 5, Census Tract 1, Smith County, Texas",790,635,69,533,0,1,0,0,32,155,71,4,0,0,0,65,15
"484230001005001","1000000US484230001005001","Block 5001, Block Group 5, Census Tract 1, Smith County, Texas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"484230001005002","1000000US484230001005002","Block 5002, Block Group 5, Census Tract 1, Smith County, Texas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"484230001005003","1000000US484230001005003","Block 5003, Block Group 5, Census Tract 1, Smith County, Texas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"484230001005004","1000000US484230001005004","Block 5004, Block Group 5, Census Tract 1, Smith County, Texas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"484230001005005","1000000US484230001005005","Block 5005, Block Group 5, Census Tract 1, Smith County, Texas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"484230001005006","1000000US484230001005006","Block 5006, Block Group 5, Census Tract 1, Smith County, Texas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"484230001005007","1000000US484230001005007","Block 5007, Block Group 5, Census Tract 1, Smith County, Texas",96,95,45,50,0,0,0,0,0,1,1,0,0,0,0,0,0
"484230001005008","1000000US484230001005008","Block 5008, Block Group 5, Census Tract 1, Smith County, Texas",42,35,11,20,0,0,0,0,4,7,7,0,0,0,0,0,0
"484230001005009","1000000US484230001005009","Block 5009, Block Group 5, Census Tract 1, Smith County, Texas",244,169,46,120,0,1,0,2,0,75,36,7,0,0,0,32,0
"484230001005010","1000000US484230001005010","Block 5010, Block Group 5, Census Tract 1, Smith County, Texas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"484230001005011","1000000US484230001005011","Block 5011, Block Group 5, Census Tract 1, Smith County, Texas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"484230001005012","1000000US484230001005012","Block 5012, Block Group 5, Census Tract 1, Smith County, Texas",11,3,3,0,0,0,0,0,0,8,1,0,0,0,0,7,0
"484230001005013","1000000US484230001005013","Block 5013, Block Group 5, Census Tract 1, Smith County, Texas",26,11,9,0,0,2,0,0,0,15,9,0,0,0,0,1,5
"484230001005014","1000000US484230001005014","Block 5014, Block Group 5, Census Tract 1, Smith County, Texas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"484230001005015","1000000US484230001005015","Block 5015, Block Group 5, Census Tract 1, Smith County, Texas",155,81,17,62,0,0,0,2,0,74,27,0,4,0,0,43,0
"484230001005016","1000000US484230001005016","Block 5016, Block Group 5, Census Tract 1, Smith County, Texas",91,49,5,44,0,0,0,0,0,42,18,0,0,0,0,24,0
"484230001005017","1000000US484230001005017","Block 5017, Block Group 5, Census Tract 1, Smith County, Texas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"484230001005018","1000000US484230001005018","Block 5018, Block Group 5, Census Tract 1, Smith County, Texas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"484230001005019","1000000US484230001005019","Block 5019, Block Group 5, Census Tract 1, Smith County, Texas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"484230001005020","1000000US484230001005020","Block 5020, Block Group 5, Census Tract 1, Smith County, Texas",9,5,0,5,0,0,0,0,0,4,4,0,0,0,0,0,0
"484230002011000","1000000US484230002011000","Block 1000, Block Group 1, Census Tract 2.01, Smith County, Texas",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"484230002011001","1000000US484230002011001","Block 1001, Block Group 1, Census Tract 2.01, Smith County, Texas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"484230002011002","1000000US484230002011002","Block 1002, Block Group 1, Census Tract 2.01, Smith County, Texas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"484230002011003","1000000US484230002011003","Block 1003, Block Group 1, Census Tract 2.01, Smith County, Texas",12,11,0,11,0,0,0,0,0,1,0,1,0,0,0,0,0
"484230002011004","1000000US484230002011004","Block 1004, Block Group 1, Census Tract 2.01, Smith County, Texas",20,20,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0
"484230002011005","1000000US484230002011005","Block 1005, Block Group 1, Census Tract 2.01, Smith County, Texas",24,23,8,15,0,0,0,0,0,1,1,0,0,0,0,0,0
"484230002011006","1000000US484230002011006","Block 1006, Block Group 1, Census Tract 2.01, Smith County, Texas",21,21,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
"484230002011007","1000000US484230002011007","Block 1007, Block Group 1, Census Tract 2.01, Smith County, Texas",25,17,0,16,1,0,0,0,0,8,0,0,0,0,0,8,0
"484230002011008","1000000US484230002011008","Block 1008, Block Group 1, Census Tract 2.01, Smith County, Texas",33,33,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
"484230002011009","1000000US484230002011009","Block 1009, Block Group 1, Census Tract 2.01, Smith County, Texas",39,39,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0
"484230002011010","1000000US484230002011010","Block 1010, Block Group 1, Census Tract 2.01, Smith County, Texas",297,263,1,261,1,0,0,0,0,34,21,1,2,0,0,8,2
"484230002011011","1000000US484230002011011","Block 1011, Block Group 1, Census Tract 2.01, Smith County, Texas",69,60,0,59,0,0,0,0,1,9,0,0,0,0,0,9,0
"484230002011012","1000000US484230002011012","Block 1012, Block Group 1, Census Tract 2.01, Smith County, Texas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"484230002011013","1000000US484230002011013","Block 1013, Block Group 1, Census Tract 2.01, Smith County, Texas",12,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
"484230002011014","1000000US484230002011014","Block 1014, Block Group 1, Census Tract 2.01, Smith County, Texas",20,16,1,15,0,0,0,0,0,4,0,0,0,0,0,4,0
"484230002011015","1000000US484230002011015","Block 1015, Block Group 1, Census Tract 2.01, Smith County, Texas",13,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
"484230002011016","1000000US484230002011016","Block 1016, Block Group 1, Census Tract 2.01, Smith County, Texas",12,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
"484230002011017","1000000US484230002011017","Block 1017, Block Group 1, Census Tract 2.01, Smith County, Texas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"484230002011018","1000000US484230002011018","Block 1018, Block Group 1, Census Tract 2.01, Smith County, Texas",56,51,5,46,0,0,0,0,0,5,0,0,0,0,0,5,0
"484230002011019","1000000US484230002011019","Block 1019, Block Group 1, Census Tract 2.01, Smith County, Texas",8,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
"484230002011020","1000000US484230002011020","Block 1020, Block Group 1, Census Tract 2.01, Smith County, Texas",7,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
"484230002011021","1000000US484230002011021","Block 1021, Block Group 1, Census Tract 2.01, Smith County, Texas",5,3,0,3,0,0,0,0,0,2,2,0,0,0,0,0,0
